"","X","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","area4km","area2km","area1km","kd490_value"
"791",868,2008,"21-Aug-08","Manalo MPA (Honda Bay) Transect 1","Philippines",9.92367,118.829,12,"Bleaching (% of population)",20,"ERG045",0,303.49,2534452,114615,0,0.0651223796660986
"792",869,2004,"15-Apr-04","Kapikan NE","Malaysia",4.64644,118.833,5,"Bleaching (% of population)",0,"ERG045",0,303.19,0,0,0,0.0755999980901834
"793",870,2004,"15-Apr-04","Kapikan NE","Malaysia",4.64644,118.833,10,"Bleaching (% of population)",0,"ERG045",0,303.19,0,0,0,0.0755999980901834
"794",871,2010,"15-Jun-10","Danawan Reef, Siamil, Kapalai","Malaysia",4.30864,118.866,5,"Bleaching (% of population)",0,"ERG045",2.34,302.59,0,0,0,0.0565999985701637
"795",872,2010,"15-Jun-10","Pygmy Rock, Siamil, Kapalai","Malaysia",4.31236,118.876,5,"Bleaching (% of population)",0,"ERG045",2.34,302.59,0,0,0,0.0565999985701637
"796",875,2008,"17-Aug-08","Sabang (Malawan Point)","Philippines",10.2051,118.91,6,"Bleaching (% of population)",4,"ERG045",2.265,303.23,382462,380618,0,0.0673654513726392
"797",876,2008,"17-Aug-08","Sabang (Malawan Point)","Philippines",10.2051,118.91,10,"Bleaching (% of population)",0,"ERG045",2.265,303.23,382462,380618,0,0.0673654513726392
"798",877,2010,"09-Jun-10","Pandanan Bay, Pandanan Island","Malaysia",4.58231,118.915,10,"Bleaching (% of population)",0,"ERG045",2.41,302.27,0,0,0,0.0455999988480471
"799",878,2008,"10-Mar-08","Treasure Hunt, Pandanan Island","Malaysia",4.57917,118.92,5,"Bleaching (% of population)",40,"ERG045",2.65,300.79,0,0,0,0.0661999983276473
"800",879,2008,"10-Mar-08","Treasure Hunt, Pandanan Island","Malaysia",4.57917,118.92,10,"Bleaching (% of population)",50,"ERG045",2.65,300.79,0,0,0,0.0661999983276473
"801",880,2010,"09-Jun-10","Stingray City, Timba-Timba Island","Malaysia",4.55797,118.924,5,"Bleaching (% of population)",0,"ERG045",1.04,302.15,0,0,0,0.0485999987722607
"802",881,2008,"21-Aug-08","Puntod Ilis","Philippines",9.96672,118.917,4,"Bleaching (% of population)",60,"ERG045",0.91,303.495,1839579,232798,0,0.0672085400489951
"803",882,2008,"21-Aug-08","Puntod Ilis","Philippines",9.96672,118.917,5,"Bleaching (% of population)",0,"ERG045",0.91,303.495,1839579,232798,0,0.0672085400489951
"804",883,2010,"09-Jun-10","Cahaya Way, Bohayan Island","Malaysia",4.47714,118.945,7,"Bleaching (% of population)",0,"ERG045",2.53,302.53,0,0,0,0.0425999989238335
"805",884,2010,"10-Jun-10","Sweetlips Rock, Mataking Island","Malaysia",4.58722,118.945,5,"Bleaching (% of population)",0,"ERG045",2.93,302.26,0,0,0,0.0463999988278374
"806",885,2010,"10-Jun-10","Coral Garden, Mataking Island","Malaysia",4.57203,118.957,5,"Bleaching (% of population)",0,"ERG045",2.42,302.32,0,0,0,0.0463999988278374
"807",886,2008,"08-Nov-08","South Barrang Caddi","Indonesia",-5.08947,119.317,3,"Bleaching (% of population)",0,"ERG036",3.21,303.85,0,0,0,0.062599998418591
"808",887,2008,"08-Nov-08","South Barrang Caddi","Indonesia",-5.08947,119.317,10,"Bleaching (% of population)",15,"ERG036",3.21,303.85,0,0,0,0.062599998418591
"809",888,2008,"07-Nov-08","West Barrang Lompo","Indonesia",-5.04158,119.327,3,"Bleaching (% of population)",20,"ERG036",2.6,303.57,0,0,0,0.055999998585321
"810",889,2008,"07-Nov-08","West Barrang Lompo","Indonesia",-5.04158,119.327,10,"Bleaching (% of population)",16,"ERG036",2.6,303.57,0,0,0,0.055999998585321
"811",890,2008,"07-Nov-08","SE Barrang Lompo","Indonesia",-5.05333,119.332,3,"Bleaching (% of population)",0,"ERG036",2.6,303.57,0,0,0,0.055999998585321
"812",891,2008,"07-Nov-08","SE Barrang Lompo","Indonesia",-5.05333,119.332,10,"Bleaching (% of population)",3,"ERG036",2.6,303.57,0,0,0,0.055999998585321
"813",892,2008,"08-Nov-08","North Barrang Caddi","Indonesia",-5.07667,119.319,3,"Bleaching (% of population)",0,"ERG036",3.32,303.61,0,0,0,0.062599998418591
"814",893,2008,"08-Nov-08","North Barrang Caddi","Indonesia",-5.07667,119.319,10,"Bleaching (% of population)",0,"ERG036",3.32,303.61,0,0,0,0.062599998418591
"815",894,2010,"04-Jun-10","South Beach at Dongyuping","Taiwan",23.2553,119.514,4,"Bleaching (% of population)",0,"ERG056",3.5,298.36,0,0,0,0.0917999976809369
"816",895,2010,"04-Jun-10","South Beach at Dongyuping","Taiwan",23.2553,119.514,6,"Bleaching (% of population)",0,"ERG056",3.5,298.36,0,0,0,0.0917999976809369
"817",896,2003,"09-Oct-03","Pasoso 4","Indonesia",0.0944444,119.614,3,"Bleaching (% of population)",9,"ERG036",0,302.62,5587,5587,5587,0.0529999986611074
"818",897,2003,"09-Oct-03","Pasoso 4","Indonesia",0.0944444,119.614,10,"Bleaching (% of population)",15,"ERG036",0,302.62,5587,5587,5587,0.0529999986611074
"819",898,2002,"16-Sep-02","Pasoso 2","Indonesia",0.0852222,119.623,10,"Bleaching (% of population)",0,"ERG036",0,302.32,5587,5587,936,0.0543999986257404
"820",899,2003,"07-Oct-03","Pasoso 2","Indonesia",0.0852222,119.623,3,"Bleaching (% of population)",5,"ERG036",0,302.27,5587,5587,936,0.0529999986611074
"821",900,2003,"07-Oct-03","Pasoso 2","Indonesia",0.0852222,119.623,10,"Bleaching (% of population)",4,"ERG036",0,302.27,5587,5587,936,0.0529999986611074
"822",901,2003,"07-Oct-03","Pasoso 1","Indonesia",0.0913889,119.624,3,"Bleaching (% of population)",0,"ERG036",0,302.27,5587,5587,5587,0.0529999986611074
"823",902,2003,"07-Oct-03","Pasoso 1","Indonesia",0.0913889,119.624,10,"Bleaching (% of population)",10,"ERG036",0,302.27,5587,5587,5587,0.0529999986611074
"824",911,2007,"13-Jul-07","Tambu Bay 1 - Pulau Katupat","Indonesia",-0.0358333,119.795,3,"Bleaching (% of population)",0,"ERG036",1.33,303,0,0,0,0.0387999990198296
"825",912,2007,"13-Jul-07","Tambu Bay 1 - Pulau Katupat","Indonesia",-0.0358333,119.795,9,"Bleaching (% of population)",0,"ERG036",1.33,303,0,0,0,0.0387999990198296
"826",913,2003,"17-Sep-03","Tawaeli Talise","Indonesia",-0.726417,119.854,3,"Bleaching (% of population)",7,"ERG036",0,301.5,0,0,0,0.0741480040982863
"827",914,2003,"17-Sep-03","Tawaeli Talise","Indonesia",-0.726417,119.854,10,"Bleaching (% of population)",0,"ERG036",0,301.5,0,0,0,0.0741480040982863
"828",915,2006,"16-Apr-06","Tawaeli Talise","Indonesia",-0.726417,119.854,3,"Bleaching (% of population)",6,"ERG036",0,301.61,0,0,0,0.0645159999199756
"829",916,2006,"16-Apr-06","Tawaeli Talise","Indonesia",-0.726417,119.854,8,"Bleaching (% of population)",1,"ERG036",0,301.61,0,0,0,0.0645159999199756
"830",917,2003,"07-Sep-03","Tawaeli Kadongo","Indonesia",-0.747722,119.856,10,"Bleaching (% of population)",0,"ERG036",0,301.49,0,0,0,0.0741480040982863
"831",918,2003,"20-Sep-03","Tawaeli Kadongo","Indonesia",-0.747722,119.856,3,"Bleaching (% of population)",0,"ERG036",0,301.5,0,0,0,0.0741480040982863
"832",919,2007,"13-May-07","Tawaeli Kadongo","Indonesia",-0.747722,119.856,3,"Bleaching (% of population)",0,"ERG036",0,303.13,0,0,0,0.0912182167716399
"833",920,2007,"13-May-07","Tawaeli Kadongo","Indonesia",-0.747722,119.856,9,"Bleaching (% of population)",0,"ERG036",0,303.13,0,0,0,0.0912182167716399
"834",921,2008,"04-May-08","Baiya","Indonesia",-0.721417,119.857,3,"Bleaching (% of population)",2,"ERG036",0,304.02,0,0,0,0.0774280470543705
"835",922,2008,"04-May-08","Baiya","Indonesia",-0.721417,119.857,9,"Bleaching (% of population)",1,"ERG036",0,304.02,0,0,0,0.0774280470543705
"836",923,2007,"14-Jul-07","Tambu Bay 2 - Sibayu","Indonesia",0.0936111,119.863,3,"Bleaching (% of population)",0,"ERG036",0,302.155,446925,261896,0,0.0377999990450917
"837",924,2007,"14-Jul-07","Tambu Bay 2 - Sibayu","Indonesia",0.0936111,119.863,9,"Bleaching (% of population)",0,"ERG036",0,302.155,446925,261896,0,0.0377999990450917
"838",925,2007,"17-Jul-07","Tambu Bay 5 - Sibualong","Indonesia",0.0433333,119.872,3,"Bleaching (% of population)",4,"ERG036",0.353333333,302.1033333,68007,6141,0,0.0435999988985714
"839",926,2007,"17-Jul-07","Tambu Bay 5 - Sibualong","Indonesia",0.0433333,119.872,9,"Bleaching (% of population)",6,"ERG036",0.353333333,302.1033333,68007,6141,0,0.0435999988985714
"840",927,2003,"08-Oct-03","Pasoso 3","Indonesia",0.0891667,119.617,3,"Bleaching (% of population)",1,"ERG036",0,302.62,5587,5587,5587,0.0529999986611074
"841",928,2003,"08-Oct-03","Pasoso 3","Indonesia",0.0891667,119.617,10,"Bleaching (% of population)",8,"ERG036",0,302.62,5587,5587,5587,0.0529999986611074
"842",929,2004,"20-Apr-04","Labuana 3","Indonesia",0.150139,119.799,3,"Bleaching (% of population)",0,"ERG036",3.86,304.1,0,0,0,0.0513999987015268
"843",930,2004,"20-Apr-04","Labuana 3","Indonesia",0.150139,119.799,10,"Bleaching (% of population)",0,"ERG036",3.86,304.1,0,0,0,0.0513999987015268
"844",931,2003,"13-Oct-03","Labuana 1","Indonesia",-0.146556,119.806,3,"Bleaching (% of population)",8,"ERG036",0,302.765,7075,2273,2273,0.144177877516568
"845",932,2003,"13-Oct-03","Labuana 1","Indonesia",-0.146556,119.806,10,"Bleaching (% of population)",5,"ERG036",0,302.765,7075,2273,2273,0.144177877516568
"846",933,2003,"14-Oct-03","Labuana 2","Indonesia",0.139889,119.808,3,"Bleaching (% of population)",0,"ERG036",1.07,302.59,0,0,0,0.0433999989036238
"847",934,2003,"14-Oct-03","Labuana 2","Indonesia",0.139889,119.808,10,"Bleaching (% of population)",0,"ERG036",1.07,302.59,0,0,0,0.0433999989036238
"848",935,2003,"23-Apr-03","100th","Australia",-12.1069,96.8709,3,"Bleaching (% of population)",0,"ERG106",0,299.91,0,0,0,0.032557309882494
"849",936,2004,"20-Nov-04","100th","Australia",-12.1069,96.8709,3,"Bleaching (% of population)",4,"ERG106",0,299.3,0,0,0,0.0345141624345505
"850",937,2007,"26-Feb-07","100th","Australia",-12.1069,96.8709,3,"Bleaching (% of population)",0,"ERG106",0,301.65,0,0,0,0.0334476110203012
"851",938,2004,"28-Jul-04","Coral Gardens","Philippines",11.968,120.064,5,"Bleaching (% of population)",0,"ERG045",0,301.12,553335,72198,28399,0.0470192476384849
"852",939,2004,"30-May-04","East Sangat Japanese Gunboat","Philippines",11.9756,120.078,5,"Bleaching (% of population)",0,"ERG045",4.883333333,302.99,2178071,259662,8221,0.0360984817470352
"853",940,2005,"28-Mar-05","Grande","Philippines",14.7671,120.223,3,"Bleaching (% of population)",0,"ERG047",0,300.52,1377,0,0,0.0431802977189992
"854",941,2005,"28-Mar-05","Grande","Philippines",14.7671,120.223,8,"Bleaching (% of population)",0,"ERG047",0,300.52,1377,0,0,0.0431802977189992
"855",942,2004,"27-May-04","Siete Pecados Islands","Philippines",11.9837,120.232,5,"Bleaching (% of population)",0,"ERG045",3.88,301.24,661712,172828,8381,0.0361155530392864
"856",943,2006,"12-Feb-06","Hidden Beach (Deep)","Philippines",14.7573,120.238,10,"Bleaching (% of population)",0,"ERG047",0.5225,300.51,88350,0,0,0.0613767828030607
"857",944,2006,"12-Feb-06","Hidden Beach (Shallow)","Philippines",14.7586,120.238,5.5,"Bleaching (% of population)",1,"ERG047",0.5225,300.51,88350,0,0,0.0613767828030607
"858",945,2005,"21-Feb-05","Hidden Beach","Philippines",14.7572,120.239,5,"Bleaching (% of population)",1,"ERG047",0,299.4625,88350,0,0,0.0607204701168496
"859",946,2005,"21-Feb-05","Hidden Beach","Philippines",14.7572,120.239,8,"Bleaching (% of population)",0,"ERG047",0,299.4625,88350,0,0,0.0607204701168496
"860",947,2010,"04-Oct-10","Geban Bay","Taiwan",22.3375,120.358,10,"Bleaching (% of population)",0,"ERG056",4.99,301.39,0,0,0,0.0741999981255503
"861",948,2010,"04-Oct-10","Houshi","Taiwan",22.3231,120.366,5,"Bleaching (% of population)",0,"ERG056",3.89,301.78,0,0,0,0.0741999981255503
"862",949,2010,"04-Oct-10","Houshi","Taiwan",22.3231,120.366,10,"Bleaching (% of population)",0,"ERG056",3.89,301.78,0,0,0,0.0741999981255503
"863",950,2010,"04-Oct-10","Beauty Cave","Taiwan",22.3544,120.371,5,"Bleaching (% of population)",0,"ERG056",4.22,302.12,0,0,0,0.0741999981255503
"864",951,2010,"04-Oct-10","Beauty Cave","Taiwan",22.3544,120.371,10,"Bleaching (% of population)",0,"ERG056",4.22,302.12,0,0,0,0.0741999981255503
"865",952,2005,"01-Dec-05","Apo Reef 2","Philippines",12.6677,120.41,6.5,"Bleaching (% of population)",14,"ERG045",0,301.81,0,0,0,0.0441999988834141
"866",953,2005,"02-Dec-05","Apo Reef 4","Philippines",12.6664,120.413,6.5,"Bleaching (% of population)",85,"ERG045",0,301.81,0,0,0,0.0441999988834141
"867",954,2005,"07-May-05","Talim Point Inner","Philippines",13.975,120.609,3.5,"Bleaching (% of population)",0,"ERG047",0,302.73,174121,71528,15855,0.0371930072363489
"868",955,2005,"08-May-05","San Diego North","Philippines",14.0183,120.619,4.5,"Bleaching (% of population)",5,"ERG047",0,302.5933333,71411,0,0,0.0475999987975229
"869",956,2005,"08-May-05","Binubusan Shoal","Philippines",13.9817,120.619,5,"Bleaching (% of population)",0,"ERG047",0,302.8333333,102441,102441,0,0.0371930072363489
"870",957,2005,"02-Dec-05","Apo Reef 3","Philippines",13.9859,120.621,6.5,"Bleaching (% of population)",0,"ERG047",0.74,300.91,102441,68943,8592,0.068588981318144
"871",958,2005,"07-May-05","Binubusan North","Philippines",13.9847,120.628,3.5,"Bleaching (% of population)",0,"ERG047",0,302.8333333,102441,55729,5586,0.0475999987975229
"872",959,2010,"16-Jun-10","Calatagan Artificial Reef Marine Protected Area","Philippines",13.7737,120.644,20,"Bleaching (% of population)",0,"ERG047",3.39,304.61,18676,0,0,0.0453999988530995
"873",960,2007,"27-Oct-07","Mangkasa Point","Indonesia",-2.7395,120.824,3,"Bleaching (% of population)",0,"ERG038",2.51,305.03,0,0,0,0.0687999982619658
"874",961,2007,"27-Oct-07","Mangkasa Point","Indonesia",-2.7395,120.824,11,"Bleaching (% of population)",0,"ERG038",2.51,305.03,0,0,0,0.0687999982619658
"875",962,2010,"20-Apr-10","Koala, Bagalangit","Philippines",13.7178,120.873,6,"Bleaching (% of population)",0,"ERG047",0.928571429,300.7242857,0,0,0,0.0807999979588203
"876",963,2010,"20-Apr-10","San Teodoro","Philippines",13.7041,120.876,5,"Bleaching (% of population)",0,"ERG047",2.06,300.44,0,0,0,0.0807999979588203
"877",964,2010,"22-Feb-10","Acacia Resort and Dive Center","Philippines",13.7282,120.884,5,"Bleaching (% of population)",0,"ERG047",0.448571429,299.7942857,0,0,0,0.0765999980649212
"878",965,2005,"03-Dec-05","Puerto Galera 2","Philippines",13.5246,120.98,6.5,"Bleaching (% of population)",0,"ERG046",1.37,300.64,17151,9695,0,0.0642369571401245
"879",966,2005,"03-Dec-05","Puerto Galera 1","Philippines",13.5247,120.981,6.5,"Bleaching (% of population)",20,"ERG046",1.37,300.64,17151,9695,0,0.0642369571401245
"880",967,2010,"20-Nov-10","Mama Mary Point","Philippines",14.1174,120.606,7.3,"Bleaching (% of population)",0,"ERG047",17.09,303.1,44335,35350,0,0.064541174840141
"881",968,2010,"20-Nov-10","Blue House Point","Philippines",14.1133,120.608,6,"Bleaching (% of population)",15,"ERG047",17.09,303.1,52255,14007,0,0.064541174840141
"882",969,2005,"01-Dec-05","Apo Reef 1","Philippines",13.9868,120.63,6.5,"Bleaching (% of population)",40,"ERG047",0.74,300.91,102441,30913,12583,0.068588981318144
"883",970,2010,"17-Jun-10","Sta. Ana MPA","Philippines",13.7996,120.674,6.7,"Bleaching (% of population)",0,"ERG047",4.76,304.3,164894,128313,26305,0.0276023702929426
"884",971,2010,"17-Jun-10","Outside Sta. Ana MPA","Philippines",13.7991,120.677,6.7,"Bleaching (% of population)",0,"ERG047",4.76,304.3,160540,120050,1180,0.0276023702929426
"885",972,2010,"22-Feb-10","Twin Rocks","Philippines",13.6906,120.889,5,"Bleaching (% of population)",0,"ERG047",0,299.86,0,0,0,0.0463104170075237
"886",973,2010,"14-Aug-10","Shanyuan Southern Reef","Taiwan",22.8297,121.189,4.5,"Bleaching (% of population)",0,"ERG056",0.716666667,301.1566667,0,0,0,0.114482260104877
"887",974,2008,"19-May-08","Centre Sanyuan","Taiwan",22.49,121.11,5,"Bleaching (% of population)",0,"ERG056",4.03,301.04,0,0,0,0.0593999984994298
"888",975,2006,"22-Jun-06","Silonay Island 1A","Philippines",13.4407,121.215,5.5,"Bleaching (% of population)",0,"ERG046",6.82,304.41,152938,86599,86599,0.0758254276377531
"889",976,2006,"22-Jun-06","Silonay Island 1B","Philippines",13.4419,121.215,10,"Bleaching (% of population)",0,"ERG046",6.82,304.41,144457,86599,86599,0.0758254276377531
"890",977,2006,"22-Jun-06","Silonay Island 2A","Philippines",13.4442,121.216,5,"Bleaching (% of population)",0,"ERG046",6.82,304.41,134591,86599,86599,0.0623999984236434
"891",978,2006,"22-Jun-06","Silonay Island 2B","Philippines",13.4442,121.216,8,"Bleaching (% of population)",0,"ERG046",6.82,304.41,134591,86599,86599,0.0623999984236434
"892",980,2010,"13-Oct-10","Grotto-Malao, Brgy. Pagkilatan","Philippines",13.633,121.044,5,"Bleaching (% of population)",50,"ERG047",19.042,303.12,0,0,0,0.0622267923916777
"893",981,2010,"11-Sep-10","Chaikou","Taiwan",22.6814,121.483,5,"Bleaching (% of population)",0,"ERG056",2.68,302.04,0,0,0,0.0325999991764547
"894",982,2010,"11-Sep-10","Chaikou","Taiwan",22.6814,121.483,10,"Bleaching (% of population)",0,"ERG056",2.68,302.04,0,0,0,0.0325999991764547
"895",983,2008,"24-May-08","ChaiKou","Taiwan",22.6774,121.479,5,"Bleaching (% of population)",0,"ERG056",7.14,301.29,0,0,0,0.0363999990804587
"896",984,2008,"24-May-08","ChaiKou","Taiwan",22.6774,121.479,9,"Bleaching (% of population)",0,"ERG056",7.14,301.29,0,0,0,0.0363999990804587
"897",986,2010,"11-Sep-10","Gong-guan","Taiwan",22.6775,121.493,5,"Bleaching (% of population)",0,"ERG056",4.38,302.15,0,0,0,0.0325999991764547
"898",987,2010,"11-Sep-10","Gong-guan","Taiwan",22.6775,121.493,10,"Bleaching (% of population)",0,"ERG056",4.38,302.15,0,0,0,0.0325999991764547
"899",988,2010,"11-Sep-10","General Rock","Taiwan",22.6775,121.497,5,"Bleaching (% of population)",0,"ERG056",4.38,302.15,0,0,0,0.0325999991764547
"900",989,2010,"11-Sep-10","General Rock","Taiwan",22.6775,121.497,10,"Bleaching (% of population)",0,"ERG056",4.38,302.15,0,0,0,0.0325999991764547
"901",990,2010,"24-Aug-10","Sitio Pinagbakahan, Barangay Pagkilatan","Philippines",13.6283,121.061,5,"Bleaching (% of population)",0,"ERG047",16.488,303.504,0,0,0,0.0577999985398492
"902",991,2010,"24-Aug-10","Sitio Pinagbakahan, Barangay Pagkilatan","Philippines",13.6283,121.061,9,"Bleaching (% of population)",0,"ERG047",16.488,303.504,0,0,0,0.0577999985398492
"903",992,2008,"24-May-08","Gateway Rock","Taiwan",22.6788,121.504,4.5,"Bleaching (% of population)",0,"ERG056",7.53,300.63,0,0,0,0.0393999990046723
"904",993,2008,"24-May-08","Gateway Rock","Taiwan",22.6788,121.504,10,"Bleaching (% of population)",0,"ERG056",7.53,300.63,0,0,0,0.0393999990046723
"905",994,2008,"24-May-08","Haishen Flats","Taiwan",22.653,121.51,4,"Bleaching (% of population)",0,"ERG056",5.62,300.83,0,0,0,0.0393999990046723
"906",995,2008,"24-May-08","Haishen Flats","Taiwan",22.653,121.51,11,"Bleaching (% of population)",0,"ERG056",5.62,300.83,0,0,0,0.0393999990046723
"907",998,2008,"19-Jan-08","Uebone","Indonesia",-0.914722,121.663,2,"Bleaching (% of population)",0,"ERG037",5.1,303.45,194502,0,0,0.114483942156078
"908",999,2003,"10-May-03","Ampana Tete (Tete B)","Indonesia",-0.853333,121.668,3,"Bleaching (% of population)",0,"ERG037",1.64,302.45,183272,0,0,0.0777846919125444
"909",1000,2003,"10-May-03","Ampana Tete (Tete B)","Indonesia",-0.853333,121.668,10,"Bleaching (% of population)",0,"ERG037",1.64,302.45,183272,0,0,0.0777846919125444
"910",1001,2008,"18-Jan-08","Tete B","Indonesia",-0.863861,121.668,4,"Bleaching (% of population)",0,"ERG037",5.47,303.04,207106,10540,0,0.111168392554676
"911",1002,2008,"18-Jan-08","Pulau Pasir","Indonesia",-0.872889,121.669,3,"Bleaching (% of population)",0,"ERG037",5.47,303.04,194502,162849,0,0.111168392554676
"912",1003,2010,"04-Jul-10","Yehliu Geopark","Taiwan",25.1931,121.702,6.1,"Bleaching (% of population)",0,"ERG056",0,302.2,0,0,0,0.0655999983428046
"913",1004,2010,"17-Jul-10","Fanzaiao","Taiwan",25.1363,121.822,5,"Bleaching (% of population)",0,"ERG056",1.17,300.91,0,0,0,0.0917999976809369
"914",1005,2010,"17-Jul-10","Fanzaiao","Taiwan",25.1363,121.822,5.1,"Bleaching (% of population)",0,"ERG056",1.17,300.91,0,0,0,0.0917999976809369
"915",1006,2010,"17-Jul-10","Fanzaiao","Taiwan",25.1363,121.822,8,"Bleaching (% of population)",0,"ERG056",1.17,300.91,0,0,0,0.0917999976809369
"916",1007,2010,"17-Jul-10","Fanzaiao","Taiwan",25.1363,121.822,8.1,"Bleaching (% of population)",0,"ERG056",1.17,300.91,0,0,0,0.0917999976809369
"917",1008,2010,"11-Jul-10","Bitou","Taiwan",25.1264,121.914,2.2,"Bleaching (% of population)",0,"ERG056",1.8,299.69,0,0,0,0.0795999979891349
"918",1009,2010,"11-Jul-10","Bitou","Taiwan",25.1264,121.914,3,"Bleaching (% of population)",0,"ERG056",1.8,299.69,0,0,0,0.0795999979891349
"919",1010,2010,"11-Jul-10","Bitou","Taiwan",25.1264,121.914,4.5,"Bleaching (% of population)",0,"ERG056",1.8,299.69,0,0,0,0.0795999979891349
"920",1011,2010,"11-Jul-10","Bitou","Taiwan",25.1264,121.914,11.5,"Bleaching (% of population)",1,"ERG056",1.8,299.69,0,0,0,0.0795999979891349
"921",1012,2010,"10-Jul-10","Longdongwan/Longdong 4 Rep 1","Taiwan",25.1135,121.92,5,"Bleaching (% of population)",0,"ERG056",1.9,299.49,0,0,0,0.0795999979891349
"922",1013,2010,"10-Jul-10","Longdongwan/Longdong 4 Rep 1","Taiwan",25.1135,121.92,5.1,"Bleaching (% of population)",0,"ERG056",1.9,299.49,0,0,0,0.0795999979891349
"923",1014,2010,"10-Jul-10","Longdongwan/Longdong 4 Rep 1","Taiwan",25.1135,121.92,7,"Bleaching (% of population)",0,"ERG056",1.9,299.49,0,0,0,0.0795999979891349
"924",1017,2008,"19-May-08","South Sanyuan","Taiwan",22.49,121.11,5,"Bleaching (% of population)",0,"ERG056",4.03,301.04,0,0,0,0.0593999984994298
"925",1019,2006,"21-Jun-06","Calapan 2B","Philippines",13.4176,121.145,2,"Bleaching (% of population)",0,"ERG046",7.41,304.01,3564048,526222,28867,0.0707999982114416
"926",1020,2006,"21-Jun-06","Calapan 1A","Philippines",13.4218,121.148,4.7,"Bleaching (% of population)",0,"ERG046",7.41,304.01,2873482,214945,0,0.0707999982114416
"927",1021,2006,"21-Jun-06","Calapan 1B","Philippines",13.4208,121.15,3,"Bleaching (% of population)",0,"ERG046",7.41,304.01,2669849,276113,0,0.0707999982114416
"928",1022,2006,"21-Jun-06","Calapan 2A","Philippines",13.4199,121.152,3.3,"Bleaching (% of population)",0,"ERG046",7.41,304.01,2441935,299510,1637,0.0707999982114416
"929",1023,2005,"09-May-05","Big Manta Rock","Philippines",9.87994,122.372,6,"Bleaching (% of population)",0,"ERG046",0,303.17,20131,0,0,0.0469999988126801
"930",1024,2005,"09-May-05","Big Manta Rock","Philippines",9.87994,122.372,10,"Bleaching (% of population)",0,"ERG046",0,303.17,20131,0,0,0.0469999988126801
"931",1025,2005,"10-May-05","Twinpeaks","Philippines",9.867,122.374,3,"Bleaching (% of population)",0,"ERG046",0,303.4125,26864,0,0,0.0469999988126801
"932",1026,2005,"10-May-05","Twinpeaks","Philippines",9.867,122.374,10,"Bleaching (% of population)",0,"ERG046",0,303.4125,26864,0,0,0.0469999988126801
"933",1027,2005,"10-May-05","Hilary's Rock (shallow)","Philippines",9.87542,122.38,6,"Bleaching (% of population)",0,"ERG046",0,303.17,54393,0,0,0.0469999988126801
"934",1028,2005,"10-May-05","Hilary's Rock (Deep)","Philippines",9.87431,122.381,12,"Bleaching (% of population)",0,"ERG046",0,303.17,55787,0,0,0.0469999988126801
"935",1029,2006,"27-Aug-06","Tinigiban Beach","Philippines",10.5156,122.493,1.7,"Bleaching (% of population)",0,"ERG046",0.535,301.63,39128,7440,4885,0.0597541884346163
"936",1030,2006,"25-Aug-06","UP- Visayas Marine Station Talisay Beach","Philippines",10.4035,122.511,5,"Bleaching (% of population)",30,"ERG046",0,301.05,347524,213650,53590,0.0601455198709707
"937",1031,2006,"26-Aug-06","Calapadan Reef South","Philippines",10.4063,122.514,1.7,"Bleaching (% of population)",0,"ERG046",0,301.05,390604,238109,57529,0.0601455198709707
"938",1032,2005,"25-Dec-05","Stasiun III Bokori","Indonesia",-3.95369,122.649,3,"Bleaching (% of population)",0,"ERG038",0,303.35,245703,0,0,0.0453097796310954
"939",1033,2005,"25-Dec-05","Stasiun III Bokori","Indonesia",-3.95369,122.649,10,"Bleaching (% of population)",0,"ERG038",0,303.35,245703,0,0,0.0453097796310954
"940",1034,2005,"25-Dec-05","Stasiun II Bokori","Indonesia",-3.94308,122.654,3,"Bleaching (% of population)",0,"ERG038",0,303.15,245703,1133,0,0.0453097796310954
"941",1035,2005,"25-Dec-05","Stasiun II Bokori","Indonesia",-3.94308,122.654,10,"Bleaching (% of population)",0,"ERG038",0,303.15,245703,1133,0,0.0453097796310954
"942",1036,2005,"24-Dec-05","Statsiun I Bokori","Indonesia",-3.93956,122.659,3,"Bleaching (% of population)",0,"ERG038",0,303.15,113031,0,0,0.0453097796310954
"943",1037,2005,"24-Dec-05","Statsiun I Bokori","Indonesia",-3.93956,122.659,10,"Bleaching (% of population)",0,"ERG038",0,303.15,113031,0,0,0.0453097796310954
"944",1038,2005,"31-Dec-05","Saponda Laut 2","Indonesia",-3.87953,122.817,3,"Bleaching (% of population)",0,"ERG038",0,302.9,0,0,0,0.047010500807794
"945",1039,2005,"31-Dec-05","Saponda Laut 2","Indonesia",-3.87953,122.817,10,"Bleaching (% of population)",0,"ERG038",0,302.9,0,0,0,0.047010500807794
"946",1040,2006,"01-Jan-06","Saponda Laut 3","Indonesia",-3.87419,122.821,3,"Bleaching (% of population)",0,"ERG038",0,302.97,0,0,0,0.0585999985196395
"947",1041,2006,"01-Jan-06","Saponda Laut 3","Indonesia",-3.87419,122.821,10,"Bleaching (% of population)",0,"ERG038",0,302.97,0,0,0,0.0585999985196395
"948",1042,2005,"31-Dec-05","Saponda Laut 1","Indonesia",-3.88167,122.821,3,"Bleaching (% of population)",0,"ERG038",0,302.97,0,0,0,0.047010500807794
