"","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","area4km","area2km","area1km","kd490_value","MPA","STATUS_YR","gmw1km"
"1963",2003,"24-Apr-03","Davies Reef","Australia",-18.8263,147.627,5,"Bleaching (% of population)",0,"ERG078",0,299.91,0,0,0,0.0505999987217365,"MPA","Non MPA",NA
"1964",2004,"26-Apr-04","Davies Reef","Australia",-18.8263,147.627,5,"Bleaching (% of population)",2,"ERG078",0,299.38,0,0,0,0.0403999989794102,"MPA","MPA",NA
"1965",2005,"27-Feb-05","Davies Reef","Australia",-18.8263,147.627,5,"Bleaching (% of population)",4,"ERG078",0,301.41,0,0,0,0.0467999988177326,"MPA","MPA",NA
"1966",2007,"15-Feb-07","Nuhinuhi","French Polynesia",-14.6452,-147.637,1.5,"Bleaching (% of population)",2,"ERG116",1.2,303.13,0,0,0,0.023999999393709,"Non MPA","Non MPA",NA
"1970",2006,"25-Mar-06","Davies Reef - The Lost World (Back reef wall) Site 1","Australia",-18.8029,147.65,5,"Bleaching (% of population)",13,"ERG078",1.09,300.91,0,0,0,0.0603999984741677,"MPA","MPA",NA
"1971",2007,"29-Apr-07","Davies Reef - The Lost World (Back reef wall) Site 1","Australia",-18.8029,147.65,6,"Bleaching (% of population)",0,"ERG078",1.23,299.83,0,0,0,0.0695999982417561,"MPA","MPA",NA
"1973",2005,"17-Apr-05","Blue Pearl Bay Site 2","Australia",-20.0391,148.875,5,"Bleaching (% of population)",4,"ERG078",0,299.6,0,0,0,0.0557999985903734,"MPA","MPA",NA
"1974",2006,"01-May-06","Blue Pearl Bay Site 2","Australia",-20.0391,148.875,4.3,"Bleaching (% of population)",6,"ERG078",0,299.51,0,0,0,0.0687999982619658,"MPA","MPA",NA
"1975",2006,"01-May-06","Hayman Island Reefs - Blue Pearl Bay (Fringing reef leeward) Site 3","Australia",-20.0391,148.875,3.5,"Bleaching (% of population)",0,"ERG078",0,299.51,0,0,0,0.0687999982619658,"MPA","MPA",NA
"1980",2003,"01-May-03","Blue Pearl Bay rocks","Australia",-20.0462,148.878,6,"Bleaching (% of population)",0,"ERG078",0,298.46,0,0,0,0.0631999984034337,"MPA","Non MPA",NA
"1981",2007,"10-Jun-07","Blue Pearl Bay rocks","Australia",-20.0462,148.878,3,"Bleaching (% of population)",0,"ERG078",0,297.71,0,0,0,0.069199998251861,"MPA","MPA",NA
"1982",2003,"30-Apr-03","Bait Reef - The Clusters (Back reef crest) Site 1","Australia",-19.8112,149.064,6,"Bleaching (% of population)",0,"ERG078",0,298.74,0,0,0,0.101399997438421,"MPA","Non MPA",NA
"1983",2003,"03-May-03","Fantasea ReefWorld Pantoon (Hardy Reef)","Australia",-19.7474,149.181,5,"Bleaching (% of population)",0,"ERG078",22.31,298.17,0,0,0,0.0721999981760746,"MPA","Non MPA",NA
"1984",2007,"09-Jun-07","Fantasea ReefWorld Pantoon (Hardy Reef)","Australia",-19.7474,149.181,5,"Bleaching (% of population)",0,"ERG078",5.51,297.55,0,0,0,0.0853999978426145,"MPA","MPA",NA
"1985",2005,"16-Apr-05","Hardy Reef, Fantasea Reef World, Whitsundays","Australia",-19.7583,149.183,5,"Bleaching (% of population)",1,"ERG078",28.2,299.58,0,0,0,0.143999996362254,"MPA","MPA",NA
"1986",2006,"30-Apr-06","Hardy Reef, Fantasea Reef World, Whitsundays","Australia",-19.7583,149.183,4.7,"Bleaching (% of population)",4,"ERG078",26.94,299.26,0,0,0,0.0909999977011466,"MPA","MPA",NA
"1987",2006,"29-Apr-06","Knuckle Reef - Knuckle Reef (Back reef slope) Site 1","Australia",-19.5717,149.268,5.2,"Bleaching (% of population)",5,"ERG078",0,300.03,0,0,0,0.0871999977971427,"MPA","MPA",NA
"1991",2006,"29-Apr-06","Knuckle Reef - Knuckle Reef (Back reef slope) Site 2","Australia",-19.5717,149.268,5,"Bleaching (% of population)",3,"ERG078",0,300.03,0,0,0,0.0871999977971427,"MPA","MPA",NA
"1994",2006,"04-Oct-06","Mahu","French Polynesia",-23.4051,-149.446,1,"Bleaching (% of population)",0,"ERG114",0,295.7971429,0,0,0,0.0167999995755963,"Non MPA","Non MPA",NA
"1995",2007,"22-Oct-07","Mahu","French Polynesia",-23.4051,-149.446,1,"Bleaching (% of population)",0,"ERG114",2.781428571,297.5457143,0,0,0,0.0218799994472647,"Non MPA","Non MPA",NA
"1998",2003,"30-Apr-03","Bait Reef - The Trench (Back reef crest) Site 1","Australia",-19.8111,149.064,5,"Bleaching (% of population)",2,"ERG078",0,298.74,0,0,0,0.101399997438421,"MPA","Non MPA",NA
"1999",2006,"03-Oct-06","Haramea","French Polynesia",-23.422,-149.511,1,"Bleaching (% of population)",0,"ERG114",0,296.08,0,0,0,0.0175999995553866,"Non MPA","Non MPA",NA
"2003",2006,"17-Jul-06","Paea","French Polynesia",-17.7166,-149.587,1.5,"Bleaching (% of population)",0,"ERG115",0,300.07,0,0,0,0.0201999994897051,"Non MPA","Non MPA",NA
"2004",2007,"01-Sep-07","Paea","French Polynesia",-17.7166,-149.587,1.5,"Bleaching (% of population)",0,"ERG115",3.43,299.39,0,0,0,0.0215999994543381,"Non MPA","Non MPA",NA
"2008",2006,"10-Dec-06","Otaha","French Polynesia",-17.6563,-149.605,2,"Bleaching (% of population)",0,"ERG115",0,301.83,0,0,0,0.0223999994341284,"Non MPA","Non MPA",NA
"2009",2007,"29-Dec-07","Otaha","French Polynesia",-17.6563,-149.605,2,"Bleaching (% of population)",0,"ERG115",0,300.24,0,0,0,0.0224999994316022,"Non MPA","Non MPA",NA
"2013",2007,"06-Apr-07","Hart","French Polynesia",-17.6464,-149.612,2,"Bleaching (% of population)",4,"ERG115",0,302.19,0,0,0,0.021199999464443,"Non MPA","Non MPA",NA
"2014",2006,"23-Sep-06","Faaa/La Faille St Etienne","French Polynesia",-17.6164,-149.62,7.5,"Bleaching (% of population)",0,"ERG115",0,299.51,0,0,0,0.0185999995301245,"Non MPA","Non MPA",NA
"2017",2006,"05-Oct-06","Temae","French Polynesia",-17.498,-149.756,2,"Bleaching (% of population)",0,"ERG115",0,299.944,0,0,0,0.0215999994543381,"Non MPA","Non MPA",NA
"2018",2007,"20-Nov-07","Temae","French Polynesia",-17.498,-149.756,2,"Bleaching (% of population)",0,"ERG115",1.094,300.234,0,0,0,0.0241999993886566,"Non MPA","Non MPA",NA
"2019",2002,"19-Sep-02","Maharepa","French Polynesia",-17.4753,-149.804,2,"Bleaching (% of population)",20,"ERG115",0,299.05,0,0,0,0.0199999994947575,"Non MPA","Non MPA",NA
"2020",2003,"28-Jul-03","Maharepa","French Polynesia",-17.4753,-149.804,2,"Bleaching (% of population)",20,"ERG115",0,299.22,0,0,0,0.0227999994240236,"Non MPA","Non MPA",NA
"2021",2005,"12-Jan-05","Maharepa","French Polynesia",-17.4753,-149.804,2,"Bleaching (% of population)",2,"ERG115",2.57,303.14,0,0,0,0.0273999993078178,"Non MPA","Non MPA",NA
"2022",2006,"10-Sep-06","Maharepa","French Polynesia",-17.4753,-149.804,2,"Bleaching (% of population)",2,"ERG115",0,299.52,0,0,0,0.0283999992825557,"Non MPA","Non MPA",NA
"2024",2004,"07-Jul-04","Tiger Shark","French Polynesia",-17.4775,-149.846,7,"Bleaching (% of population)",0,"ERG115",0,299.57,0,0,0,0.0229999994189711,"Non MPA","Non MPA",NA
"2025",2005,"11-Jul-05","Tiger Shark","French Polynesia",-17.4775,-149.846,7,"Bleaching (% of population)",0,"ERG115",0,300.05,0,0,0,0.0227999994240236,"Non MPA","Non MPA",NA
"2026",2004,"09-Jul-04","Papetoai/Christian","French Polynesia",-17.4964,-149.863,2,"Bleaching (% of population)",0,"ERG115",0,299.58,0,0,0,0.0231999994139187,"Non MPA","Non MPA",NA
"2027",2005,"07-Aug-05","Papetoai/Christian","French Polynesia",-17.4964,-149.863,2,"Bleaching (% of population)",0,"ERG115",0,300.16,0,0,0,0.0249999993684469,"Non MPA","Non MPA",NA
"2028",2006,"07-Jul-06","Papetoai/Christian","French Polynesia",-17.4964,-149.863,2,"Bleaching (% of population)",0,"ERG115",0,300.33,0,0,0,0.0283999992825557,"Non MPA","Non MPA",NA
"2029",2006,"19-Apr-06","ATTP","French Polynesia",-17.4708,-149.901,12,"Bleaching (% of population)",0,"ERG115",0,301.52,0,0,0,0.021199999464443,"Non MPA","Non MPA",NA
"2030",2006,"05-Sep-06","Haapiti","French Polynesia",-17.5422,-149.902,3,"Bleaching (% of population)",0,"ERG115",0,299.37,0,0,0,0.0195999995048624,"Non MPA","Non MPA",NA
"2031",2007,"19-Jun-07","Tiahura","French Polynesia",-17.4903,-149.908,2,"Bleaching (% of population)",0,"ERG115",0,301.14,0,0,0,0.0229999994189711,"Non MPA","Non MPA",NA
"2032",2006,"02-Jun-06","Club Med","French Polynesia",-17.4841,-149.917,9.5,"Bleaching (% of population)",0,"ERG115",0,301.09,0,0,0,0.0263999993330799,"Non MPA","Non MPA",NA
"2040",2004,"29-Feb-04","Ribbon Reef 10 - Challenger Bay (Back reef crest) Site 1","Australia",-14.917,145.69,5,"Bleaching (% of population)",0,"ERG078",1.25,301.48,0,0,0,0.0609999984590104,"MPA","MPA",NA
"2041",2004,"29-Mar-04","Ribbon Reef 10 - Challenger Bay (Back reef crest) Site 1","Australia",-14.917,145.69,5,"Bleaching (% of population)",28,"ERG078",1.25,301.37,0,0,0,0.0649999983579619,"MPA","MPA",NA
"2042",2004,"29-Aug-04","Ungat","PNG",-2.67258,150.247,3,"Bleaching (% of population)",40,"ERG073",0,302.31,0,0,0,0.0492211176376888,"Non MPA","Non MPA",4
"2043",2004,"29-Aug-04","Ungat","PNG",-2.67258,150.247,15,"Bleaching (% of population)",0,"ERG073",0,302.31,0,0,0,0.0492211176376888,"Non MPA","Non MPA",4
"2044",2004,"28-Aug-04","Lovongai-Ungat","PNG",-2.66967,150.254,3,"Bleaching (% of population)",0,"ERG073",0,302.31,0,0,0,0.0492211176376888,"Non MPA","Non MPA",6
"2045",2004,"28-Aug-04","Lovongai-Ungat","PNG",-2.66967,150.254,15,"Bleaching (% of population)",0,"ERG073",0,302.31,0,0,0,0.0492211176376888,"Non MPA","Non MPA",6
"2046",2004,"29-Aug-04","Metermaram","PNG",-2.67292,150.304,3,"Bleaching (% of population)",0,"ERG073",1.12,302.04,2247762,943328,300522,0.0492211176376888,"Non MPA","Non MPA",688
"2047",2004,"29-Aug-04","Metermaram","PNG",-2.67292,150.304,15,"Bleaching (% of population)",0,"ERG073",1.12,302.04,2247762,943328,300522,0.0492211176376888,"Non MPA","Non MPA",688
"2048",2004,"30-Aug-04","East Metemaram","PNG",-2.67661,150.305,3,"Bleaching (% of population)",0,"ERG073",1.12,302.04,2219468,903108,98036,0.0492211176376888,"Non MPA","Non MPA",276
"2049",2004,"30-Aug-04","East Metemaram","PNG",-2.67661,150.305,15,"Bleaching (% of population)",0,"ERG073",1.12,302.04,2219468,903108,98036,0.0492211176376888,"Non MPA","Non MPA",276
"2050",2004,"27-Aug-04","Lovongai","PNG",-2.67986,150.311,3,"Bleaching (% of population)",35,"ERG073",1.12,302.04,2766912,1191125,0,0.0492211176376888,"Non MPA","Non MPA",18
"2051",2004,"27-Aug-04","Lovongai","PNG",-2.67986,150.311,15,"Bleaching (% of population)",0,"ERG073",1.12,302.04,2766912,1191125,0,0.0492211176376888,"Non MPA","Non MPA",18
"2056",2004,"03-Sep-04","Usen","PNG",-2.62808,150.692,3,"Bleaching (% of population)",20,"ERG073",0,301.57,687536,0,0,0.0377999990450917,"Non MPA","Non MPA",NA
"2057",2004,"03-Sep-04","Usen","PNG",-2.62808,150.692,13,"Bleaching (% of population)",20,"ERG073",0,301.57,687536,0,0,0.0377999990450917,"Non MPA","Non MPA",NA
"2058",2004,"06-Sep-04","Kapritirung","PNG",-2.64631,150.692,3,"Bleaching (% of population)",20,"ERG073",0,301.57,977540,549622,0,0.0465559877843384,"Non MPA","Non MPA",NA
"2059",2004,"06-Sep-04","Kapritirung","PNG",-2.64631,150.692,12,"Bleaching (% of population)",20,"ERG073",0,301.57,977540,549622,0,0.0465559877843384,"Non MPA","Non MPA",NA
"2060",2004,"03-Sep-04","Enuk","PNG",-2.64086,150.761,3,"Bleaching (% of population)",20,"ERG073",0,301.8,354947,0,0,0.0465543770432164,"Non MPA","Non MPA",127
"2061",2004,"03-Sep-04","Enuk","PNG",-2.64086,150.761,15,"Bleaching (% of population)",20,"ERG073",0,301.8,354947,0,0,0.0465543770432164,"Non MPA","Non MPA",127
"2073",2006,"08-Sep-06","Vavaratea","French Polynesia",-16.7389,-150.977,1.5,"Bleaching (% of population)",0,"ERG115",0.702,299.514,0,0,0,0.0229999994189711,"Non MPA","Non MPA",NA
"2074",2006,"07-Sep-06","Huahine Pearl Farm","French Polynesia",-16.7278,-150.98,1,"Bleaching (% of population)",0,"ERG115",0.702,299.514,0,0,0,0.0213999994593905,"Non MPA","Non MPA",NA
"2075",2006,"04-Oct-06","Cite de Corail","French Polynesia",-16.6833,-151.011,10,"Bleaching (% of population)",0,"ERG115",0,299.9,0,0,0,0.0345999991259305,"Non MPA","Non MPA",NA
"2076",2006,"10-Sep-06","Jardin de Fitii","French Polynesia",-16.7283,-151.047,2,"Bleaching (% of population)",0,"ERG115",0,299.39,0,0,0,0.0205999994796002,"Non MPA","Non MPA",NA
"2077",2006,"06-Oct-06","Avapehi","French Polynesia",-16.7228,-151.049,10,"Bleaching (% of population)",0,"ERG115",1.08,300.19,0,0,0,0.0245999993785517,"Non MPA","Non MPA",NA
"2086",2002,"31-Dec-02","Jardin de corail","French Polynesia",-16.546,-151.695,1,"Bleaching (% of population)",0,"ERG115",1.21,301.09,0,0,0,0.0251999993633945,"Non MPA","Non MPA",NA
"2087",2003,"12-Mar-03","Jardin de corail","French Polynesia",-16.546,-151.695,0.6,"Bleaching (% of population)",0,"ERG115",1.04,303.49,0,0,0,0.0235999994038139,"Non MPA","Non MPA",NA
"2088",2003,"04-Oct-03","Jardin de corail","French Polynesia",-16.546,-151.695,0.9,"Bleaching (% of population)",0,"ERG115",1.15,300.11,0,0,0,0.0435999988985714,"Non MPA","Non MPA",NA
"2089",2004,"06-Mar-04","Jardin de corail","French Polynesia",-16.546,-151.695,0.9,"Bleaching (% of population)",0,"ERG115",0,302.05,0,0,0,0.0241999993886566,"Non MPA","Non MPA",NA
"2090",2004,"26-Sep-04","Jardin de corail","French Polynesia",-16.546,-151.695,0.9,"Bleaching (% of population)",0,"ERG115",0,299.43,0,0,0,0.0255999993532896,"Non MPA","Non MPA",NA
"2091",2005,"11-Oct-05","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",0,299.97,0,0,0,0.023999999393709,"Non MPA","Non MPA",NA
"2092",2006,"23-Mar-06","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",0,"ERG115",1.27,302.52,0,0,0,0.023999999393709,"Non MPA","Non MPA",NA
"2093",2007,"02-Apr-07","Jardin de Corail (Coral Garden)","French Polynesia",-16.5491,-151.704,1,"Bleaching (% of population)",200,"ERG115",2.97,303,0,0,0,0.0299999992421363,"Non MPA","Non MPA",NA
"2098",2005,"21-Nov-05","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,4,"Bleaching (% of population)",6,"ERG115",2.08,302.47,0,0,0,0.0263142850495309,"Non MPA","Non MPA",NA
"2099",2006,"15-May-06","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,4,"Bleaching (% of population)",0,"ERG115",1.63,301.33,0,0,0,0.0259999993431848,"Non MPA","Non MPA",NA
"2100",2007,"29-May-07","Le Meridien/Manta (Pinacle)","French Polynesia",-16.4918,-151.71,2.8,"Bleaching (% of population)",0,"ERG115",1.36,301.83,0,0,0,0.0277999992977129,"Non MPA","Non MPA",NA
"2105",2005,"21-Nov-05","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",1,"ERG115",2.08,302.47,0,0,0,0.0263142850495309,"Non MPA","Non MPA",NA
"2106",2006,"07-May-06","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",20,"ERG115",1.63,300.98,0,0,0,0.0259999993431848,"Non MPA","Non MPA",NA
"2107",2007,"08-Jun-07","Revatua (fringing reef)","French Polynesia",-16.4796,-151.72,1,"Bleaching (% of population)",0,"ERG115",0,301.97,0,0,0,0.0235999994038139,"Non MPA","Non MPA",NA
"2112",2002,"11-Sep-02","Aquarium","French Polynesia",-16.5424,-151.727,1.5,"Bleaching (% of population)",0,"ERG115",0,299.79,0,0,0,0.0235999994038139,"Non MPA","Non MPA",NA
"2113",2003,"13-Mar-03","Aquarium","French Polynesia",-16.5424,-151.727,1.5,"Bleaching (% of population)",0,"ERG115",1.04,303.49,0,0,0,0.0235999994038139,"Non MPA","Non MPA",NA
"2114",2003,"30-Oct-03","Aquarium","French Polynesia",-16.5424,-151.727,1.2,"Bleaching (% of population)",0,"ERG115",1.15,300.98,0,0,0,0.0435999988985714,"Non MPA","Non MPA",NA
"2115",2004,"05-Mar-04","Aquarium","French Polynesia",-16.5424,-151.727,1.2,"Bleaching (% of population)",0,"ERG115",0,302.05,0,0,0,0.0241999993886566,"Non MPA","Non MPA",NA
"2116",2004,"26-Sep-04","Aquarium","French Polynesia",-16.5424,-151.727,1.2,"Bleaching (% of population)",0,"ERG115",0,299.43,0,0,0,0.0255999993532896,"Non MPA","Non MPA",NA
"2117",2005,"07-Oct-05","Aquarium","French Polynesia",-16.5424,-151.727,1.5,"Bleaching (% of population)",0,"ERG115",0,299.97,0,0,0,0.023999999393709,"Non MPA","Non MPA",NA
"2118",2006,"27-Mar-06","Aquarium","French Polynesia",-16.5424,-151.727,1.5,"Bleaching (% of population)",0,"ERG115",1.27,302.52,0,0,0,0.023999999393709,"Non MPA","Non MPA",NA
"2119",2007,"26-Mar-07","Aquarium","French Polynesia",-16.5424,-151.727,1.7,"Bleaching (% of population)",60,"ERG115",2.97,302.32,0,0,0,0.0271999993128702,"Non MPA","Non MPA",NA
"2124",2005,"08-Nov-05","Club Med (fringing reef)","French Polynesia",-16.5297,-151.728,2.5,"Bleaching (% of population)",0,"ERG115",0,300.66,0,0,0,0.0275999993027654,"Non MPA","Non MPA",NA
"2125",2006,"09-May-06","Club Med (fringing reef)","French Polynesia",-16.5297,-151.728,2.5,"Bleaching (% of population)",0,"ERG115",4.46,300.86,0,0,0,0.0299999992421363,"Non MPA","Non MPA",NA
"2126",2007,"11-Jun-07","Club Med (fringing reef)","French Polynesia",-16.5297,-151.728,2.2,"Bleaching (% of population)",0,"ERG115",1.19,301.34,0,0,0,0.0269999993179226,"Non MPA","Non MPA",NA
"2131",2002,"03-Sep-02","Sofitel Motu","French Polynesia",-16.5353,-151.728,1.8,"Bleaching (% of population)",0,"ERG115",0,299.51,0,0,0,0.0235999994038139,"Non MPA","Non MPA",NA
"2132",2003,"08-May-03","Sofitel Motu","French Polynesia",-16.5353,-151.728,1.8,"Bleaching (% of population)",0,"ERG115",0,301.54,0,0,0,0.0247999993734993,"Non MPA","Non MPA",NA
"2133",2003,"30-Oct-03","Sofitel Motu","French Polynesia",-16.5353,-151.728,1.1,"Bleaching (% of population)",0,"ERG115",1.12,300.58,0,0,0,0.0435999988985714,"Non MPA","Non MPA",NA
"2134",2004,"05-Mar-04","Sofitel Motu","French Polynesia",-16.5353,-151.728,1.8,"Bleaching (% of population)",0,"ERG115",1.1,302,0,0,0,0.0241999993886566,"Non MPA","Non MPA",NA
"2135",2004,"31-Aug-04","Sofitel Motu","French Polynesia",-16.5353,-151.728,1.8,"Bleaching (% of population)",0,"ERG115",0,299.19,0,0,0,0.0261999993381323,"Non MPA","Non MPA",NA
"2136",2005,"27-Sep-05","Sofitel Motu","French Polynesia",-16.5353,-151.728,1.7,"Bleaching (% of population)",0,"ERG115",0,300.26,0,0,0,0.022599999429076,"Non MPA","Non MPA",NA
"2137",2006,"31-Mar-06","Sofitel Motu","French Polynesia",-16.5353,-151.728,2,"Bleaching (% of population)",20,"ERG115",4.11,302.37,0,0,0,0.023999999393709,"Non MPA","Non MPA",NA
"2138",2007,"02-Apr-07","Sofitel Motu","French Polynesia",-16.5353,-151.728,1.2,"Bleaching (% of population)",100,"ERG115",3.5,301.95,0,0,0,0.0299999992421363,"Non MPA","Non MPA",NA
"2143",2002,"30-Aug-02","Pinacle Marara","French Polynesia",-16.5348,-151.73,3,"Bleaching (% of population)",0,"ERG115",0,299.51,0,0,0,0.0251999993633945,"Non MPA","Non MPA",NA
"2144",2003,"19-Apr-03","Pinacle Marara","French Polynesia",-16.5348,-151.73,3,"Bleaching (% of population)",0,"ERG115",0,301.04,0,0,0,0.0201999994897051,"Non MPA","Non MPA",NA
"2145",2003,"23-Oct-03","Pinacle Marara","French Polynesia",-16.5348,-151.73,3,"Bleaching (% of population)",0,"ERG115",1.12,300.16,0,0,0,0.0265999993280275,"Non MPA","Non MPA",NA
"2146",2004,"11-Mar-04","Pinacle Marara","French Polynesia",-16.5348,-151.73,3,"Bleaching (% of population)",0,"ERG115",1.1,301.83,0,0,0,0.0230333327514624,"Non MPA","Non MPA",NA
"2147",2004,"28-Aug-04","Pinacle Marara","French Polynesia",-16.5348,-151.73,3,"Bleaching (% of population)",0,"ERG115",0,299.19,0,0,0,0.0257999993482372,"Non MPA","Non MPA",NA
"2148",2005,"27-Sep-05","Pinacle Marara","French Polynesia",-16.5348,-151.73,3,"Bleaching (% of population)",0,"ERG115",0,300.26,0,0,0,0.0223999994341284,"Non MPA","Non MPA",NA
"2149",2006,"31-Mar-06","Pinacle Marara","French Polynesia",-16.5348,-151.73,4,"Bleaching (% of population)",50,"ERG115",4.11,302.37,0,0,0,0.0257999993482372,"Non MPA","Non MPA",NA
"2150",2007,"23-Mar-07","Pinacle Marara","French Polynesia",-16.5348,-151.73,2.8,"Bleaching (% of population)",50,"ERG115",3.5,302.32,0,0,0,0.0301999992370838,"Non MPA","Non MPA",NA
"2155",2002,"09-Sep-02","Matira","French Polynesia",-16.5526,-151.733,0.8,"Bleaching (% of population)",0,"ERG115",0,300.16,0,0,0,0.0227999994240236,"Non MPA","Non MPA",NA
"2156",2003,"11-Mar-03","Matira","French Polynesia",-16.5526,-151.733,0.8,"Bleaching (% of population)",0,"ERG115",0,302.75,0,0,0,0.0235999994038139,"Non MPA","Non MPA",NA
"2157",2003,"16-Oct-03","Matira","French Polynesia",-16.5526,-151.733,0.9,"Bleaching (% of population)",0,"ERG115",0,299.78,0,0,0,0.0265999993280275,"Non MPA","Non MPA",NA
"2158",2004,"06-Mar-04","Matira","French Polynesia",-16.5526,-151.733,0.9,"Bleaching (% of population)",0,"ERG115",0,301.91,0,0,0,0.0230333327514624,"Non MPA","Non MPA",NA
"2159",2004,"20-Sep-04","Matira","French Polynesia",-16.5526,-151.733,0.9,"Bleaching (% of population)",0,"ERG115",0,299.72,0,0,0,0.0261999993381323,"Non MPA","Non MPA",NA
"2160",2005,"07-Oct-05","Matira","French Polynesia",-16.5526,-151.733,1,"Bleaching (% of population)",0,"ERG115",1.24,300.02,0,0,0,0.0231999994139187,"Non MPA","Non MPA",NA
"2161",2006,"27-Mar-06","Matira","French Polynesia",-16.5526,-151.733,1,"Bleaching (% of population)",0,"ERG115",1.15,302.29,0,0,0,0.0257999993482372,"Non MPA","Non MPA",NA
"2162",2007,"23-Mar-07","Matira","French Polynesia",-16.5526,-151.733,1,"Bleaching (% of population)",0,"ERG115",2.59,302.32,0,0,0,0.0301999992370838,"Non MPA","Non MPA",NA
"2167",2005,"18-Nov-05","Sofitel Marara","French Polynesia",-16.5336,-151.734,2.5,"Bleaching (% of population)",1,"ERG115",0,302.18,0,0,0,0.0219999994442333,"Non MPA","Non MPA",NA
"2168",2006,"09-May-06","Sofitel Marara","French Polynesia",-16.5336,-151.734,2.5,"Bleaching (% of population)",0,"ERG115",1.36,301.79,0,0,0,0.025399999358342,"Non MPA","Non MPA",NA
"2169",2007,"07-Jun-07","Sofitel Marara","French Polynesia",-16.5336,-151.734,1.8,"Bleaching (% of population)",25,"ERG115",1.19,301.43,0,0,0,0.0281999992876081,"Non MPA","Non MPA",NA
"2176",2002,"05-Sep-02","Povai","French Polynesia",-16.5427,-151.741,1.5,"Bleaching (% of population)",0,"ERG115",0,300.16,0,0,0,0.0227999994240236,"Non MPA","Non MPA",NA
"2177",2003,"05-Mar-03","Povai","French Polynesia",-16.5427,-151.741,1.5,"Bleaching (% of population)",12,"ERG115",0,302.75,0,0,0,0.0235999994038139,"Non MPA","Non MPA",NA
"2178",2003,"23-Sep-03","Povai","French Polynesia",-16.5427,-151.741,1.5,"Bleaching (% of population)",0,"ERG115",0,300.46,0,0,0,0.0243999993836042,"Non MPA","Non MPA",NA
"2179",2004,"07-Mar-04","Povai","French Polynesia",-16.5427,-151.741,1.5,"Bleaching (% of population)",0,"ERG115",0,301.91,0,0,0,0.0230333327514624,"Non MPA","Non MPA",NA
"2180",2004,"26-Aug-04","Povai","French Polynesia",-16.5427,-151.741,1.5,"Bleaching (% of population)",0,"ERG115",0,299.08,0,0,0,0.0257999993482372,"Non MPA","Non MPA",NA
"2181",2005,"28-Sep-05","Povai","French Polynesia",-16.5427,-151.741,2,"Bleaching (% of population)",0,"ERG115",1.24,299.07,0,0,0,0.0223999994341284,"Non MPA","Non MPA",NA
"2182",2006,"29-Mar-06","Povai","French Polynesia",-16.5427,-151.741,2,"Bleaching (% of population)",140,"ERG115",0,302.43,0,0,0,0.0257999993482372,"Non MPA","Non MPA",NA
"2183",2007,"26-Mar-07","Povai","French Polynesia",-16.5427,-151.741,2,"Bleaching (% of population)",140,"ERG115",2.59,302.32,0,0,0,0.0301999992370838,"Non MPA","Non MPA",NA
"2188",2005,"08-Nov-05","Hotel Bora Bora","French Polynesia",-16.5353,-151.748,2,"Bleaching (% of population)",8,"ERG115",0,300.67,0,0,0,0.0219999994442333,"Non MPA","Non MPA",NA
"2189",2006,"05-May-06","Hotel Bora Bora","French Polynesia",-16.5353,-151.748,2,"Bleaching (% of population)",0,"ERG115",1.36,301.79,0,0,0,0.025399999358342,"Non MPA","Non MPA",NA
"2190",2007,"22-May-07","Hotel Bora Bora","French Polynesia",-16.5353,-151.748,2,"Bleaching (% of population)",0,"ERG115",2.44,301.36,0,0,0,0.0269999993179226,"Non MPA","Non MPA",NA
"2195",2005,"22-Nov-05","Top Dive (fringing reef)","French Polynesia",-16.499,-151.757,2.5,"Bleaching (% of population)",0,"ERG115",0,302.18,0,0,0,0.0244857136671531,"Non MPA","Non MPA",NA
"2196",2006,"07-May-06","Top Dive (fringing reef)","French Polynesia",-16.499,-151.757,2.5,"Bleaching (% of population)",20,"ERG115",1.36,301.79,0,0,0,0.0269749993185542,"Non MPA","Non MPA",NA
"2197",2007,"05-Jun-07","Top Dive (fringing reef)","French Polynesia",-16.499,-151.757,2.7,"Bleaching (% of population)",20,"ERG115",1.19,301.66,0,0,0,0.0243999993836042,"Non MPA","Non MPA",NA
"2202",2005,"22-Nov-05","Bora Bora Resort (fringing reef)","French Polynesia",-16.5069,-151.764,2,"Bleaching (% of population)",0,"ERG115",0,302.18,0,0,0,0.0244857136671531,"Non MPA","Non MPA",NA
"2203",2006,"08-May-06","Bora Bora Resort (fringing reef)","French Polynesia",-16.5069,-151.764,1,"Bleaching (% of population)",0,"ERG115",1.36,301.79,0,0,0,0.0269749993185542,"Non MPA","Non MPA",NA
"2204",2007,"26-May-07","Bora Bora Resort (fringing reef)","French Polynesia",-16.5069,-151.764,1,"Bleaching (% of population)",0,"ERG115",1.19,301.66,0,0,0,0.0257999993482372,"Non MPA","Non MPA",NA
